"GeneID","GeneName","Mean_Exp","Mean_Ctrl","Log2FC","T_statistic","P_value","D_value","Significant"
"dxr","dxr",800.75,416.333333333333,0.941952292230185,1.29498593013054,0.27138521903329,0.855780129919677,"Not Significant"
"dxs","dxs",772.125,457.166666666667,0.754829189071935,2.11521803387704,0.0903260676062275,1.47422684263079,"Not Significant"
"eaeH","eaeH",138.875,90.8333333333333,0.607048313126393,1.64805626797275,0.165238084046628,1.11304350364672,"Not Significant"
"eamA","eamA",149.5,38.1666666666667,1.94206523091586,1.47194420091913,0.217416025902893,0.975177240173956,"Not Significant"
"ebgA","ebgA",607.25,397.833333333333,0.608878424121087,0.900305712126863,0.41005017748333,0.633808397962964,"Not Significant"
"ebgC","ebgC",88.5,47.6666666666667,0.878953719105395,1.23006135244098,0.28099554508922,0.923953663980295,"Not Significant"
"ebgR","ebgR",1045.5,354.166666666667,1.55900421919416,1.9013554160943,0.129343061909509,1.2775758409643,"Not Significant"
"ecnA","ecnA",33.375,21,0.643856189774725,0.588858162856902,0.589273289585271,0.38028895872007,"Not Significant"
"ecnB","ecnB",90.5625,25.25,1.80243943164349,1.79428382774536,0.163371596400331,1.14981456208954,"Not Significant"
"eco","eco",57.625,51.5,0.159198594849254,0.178295019883081,0.865765567111365,0.122369273482946,"Not Significant"
"ecpD","ecpD",238.375,85.1666666666667,1.47407070721854,3.7615290633807,0.0253641504350528,2.4361635620317,"Positive Hit"
"eda","eda",63.875,20.5,1.59332597365578,1.53934639414352,0.252487108653835,1.33092365707173,"Not Significant"
"edd","edd",153.25,145.833333333333,0.0710909709501603,0.115644994397175,0.91461447489401,0.0748114795327389,"Not Significant"
"efp","efp",151,35.3333333333333,2.06470568938782,2.22190091357839,0.0815524392820363,1.5160456626523,"Not Significant"
"ego","ego",75.375,23.3333333333333,1.65016651165987,2.24401956040869,0.127456006904377,1.87146137540712,"Not Significant"
"elaA","elaA",736.375,187.5,1.96783398055994,1.38776802273058,0.255779397900846,0.899136095947254,"Not Significant"
"elaB","elaB",821.125,85.3333333333333,3.25136816796903,3.06257131740932,0.0539498818391972,1.97481147518738,"Not Significant"
"elaC","elaC",697.5625,287.416666666667,1.27623466286607,1.55457279908839,0.213554928374064,1.00730469781465,"Not Significant"
"elaD","elaD",274.125,75,1.85601591644797,3.91375290310465,0.0209063660750021,3.08710095517247,"Positive Hit"
"elbA","elbA",343.625,67.5,2.33085146904966,2.42507674757994,0.0732643563437423,1.61657058323021,"Not Significant"
"elbB","elbB",567.25,124.666666666667,2.17692375627034,1.6947727380808,0.187646274610732,1.09284416277775,"Not Significant"
"emrA","emrA",62.75,34.6666666666667,0.837848951178867,1.64472451752171,0.1872281269582,1.0400617266337,"Not Significant"
"emrB","emrB",313.5,104,1.58267068921317,2.41474829026505,0.0619463638060053,1.68555338696899,"Not Significant"
"emrD","emrD",296.75,115.666666666667,1.35170908675294,2.63495388920983,0.0464909873639088,1.90265112931506,"Not Significant"
"emrE","emrE",133.625,32.5,2.00671334408644,1.9720780425305,0.105701451279081,1.39674367356662,"Not Significant"
"emrK","emrK",207.5,138.166666666667,0.583233686804405,0.964873932946995,0.380884923363008,0.713241320020539,"Not Significant"
"emrY","emrY",271.125,141.833333333333,0.929936798796863,1.88959302139454,0.117471368587479,1.35550611851131,"Not Significant"
"emtA","emtA",52.125,19.3333333333333,1.38554419418333,0.922717337107762,0.410749668796871,0.604087979601467,"Not Significant"
"endA","endA",111.375,70.8333333333333,0.645595747146505,0.710292209829046,0.510376050186862,0.492171578257395,"Not Significant"
"eno","eno",245.25,127.5,0.938355365149861,0.836942713454223,0.454837536655145,0.55045377639959,"Not Significant"
"entA","entA",700.625,224.5,1.63757272070656,1.0716934786275,0.358065415460833,0.696300234222625,"Not Significant"
"entB","entB",351.75,198.833333333333,0.819848829904197,0.798216161411357,0.475068197398853,0.52445037846456,"Not Significant"
"entC","entC",67.75,59.3333333333333,0.188404422049973,0.436967471207842,0.684760073954167,0.283623576635836,"Not Significant"
"entD","entD",243.5,47.3333333333333,2.33874406565846,1.71572976829171,0.175325420608355,1.11655112560155,"Not Significant"
"entE","entE",221.125,73.5,1.57605944556652,1.29558065595476,0.285353648178533,0.832149954838252,"Not Significant"
"entF","entF",179.5,80.8333333333333,1.14123831329363,0.934925205777436,0.414390011225391,0.605359004150886,"Not Significant"
"envC","envC",156.875,73.3333333333333,1.0867015245884,1.95153345389474,0.119265468932323,1.30248753980324,"Not Significant"
"envR","envR",31.125,23.6666666666667,0.381133684286085,0.347039369127681,0.745356102659761,0.227789229643497,"Not Significant"
"envY","envY",140,75.1666666666667,0.88846349806188,1.52438876743032,0.191874406595469,1.12729625380324,"Not Significant"
"envZ","envZ",43.125,18,1.21559685982759,0.696380531787926,0.533317565207476,0.445302216361484,"Not Significant"
"epd","epd",66.875,29.1666666666667,1.16992500144231,1.36782345093079,0.257996852659955,0.87179543036077,"Not Significant"
"eptA","eptA",62,29.5,1.04654258593703,1.1400000539645,0.330008541049184,0.728523489261539,"Not Significant"
"eptB","eptB",101.25,39.8333333333333,1.32428159466033,2.4679490455197,0.0576758600383411,1.69523434808971,"Not Significant"
"era","era",1402.375,511.5,1.45327665756734,2.4019259482144,0.0736587910708614,1.61363943497415,"Not Significant"
"erfK","erfK",131,57,1.18641312423088,1.62200506423196,0.173287151475485,1.09434160124679,"Not Significant"
"essD","essD",86.625,49.6666666666667,0.790305621288194,3.14323666141376,0.0255730913691812,2.13790943076909,"Not Significant"
"essQ","essQ",93.25,19.6666666666667,2.18918690360295,2.74776712553388,0.0600389588316804,1.76521595950835,"Not Significant"
"etp","etp",38,15.3333333333333,1.2556548754682,1.50781057069648,0.221021877142928,0.943647026791904,"Not Significant"
"eutA","eutA",134.625,65.6666666666667,1.02458563827827,0.986373606544277,0.383286452704724,0.64993830760374,"Not Significant"
"eutB","eutB",261.25,135,0.947336121326928,0.781354067053502,0.485881940376908,0.509833247715689,"Not Significant"
"eutC","eutC",106.5,73.5,0.529024329127299,0.758913188458534,0.490244518644641,0.584859356707415,"Not Significant"
"eutE","eutE",273.5,162,0.751934184774121,0.631698051841535,0.57067416007782,0.408504960296114,"Not Significant"
"eutG","eutG",317.625,176.833333333333,0.841333697918933,0.695099750288535,0.51997515922191,0.481058083286048,"Not Significant"
"eutH","eutH",67.75,42.8333333333333,0.649331319840876,0.528811083912248,0.630604683526769,0.34062232493624,"Not Significant"
"eutI","eutI",236,90.8333333333333,1.36779724104826,1.48381278391737,0.214905882868003,0.983978555634421,"Not Significant"
"eutJ","eutJ",265.625,45,2.53510629428356,2.17312078876385,0.1180729648458,1.39395107461043,"Not Significant"
"eutL","eutL",663.125,255.166666666667,1.37437204850346,2.49432800830582,0.0731743794007886,1.64610791959697,"Not Significant"
"eutP","eutP",97.125,61,0.662352533392114,1.30944509139014,0.264342954621946,0.85154944100312,"Not Significant"
"eutQ","eutQ",109.5,36.8333333333333,1.54631657282167,1.4379848684463,0.242679523463374,0.920987802335725,"Not Significant"
"eutT","eutT",95.375,18.6666666666667,2.29290650127435,2.43084867734662,0.0644251793930111,1.63859655270152,"Not Significant"
"evgA","evgA",13.875,4.66666666666667,1.39231742277876,0.587996832788228,0.585748959577633,0.384422697991376,"Not Significant"
"evgS","evgS",2909.875,1437.16666666667,1.01722201106489,1.85195163550634,0.132092922594291,1.26200363808744,"Not Significant"
"exbB","exbB",10.875,11.3333333333333,-0.0546352565768458,-0.0432839466628066,0.967169735696186,-0.0287980016333438,"Not Significant"
"exbD","exbD",95.125,41.3333333333333,1.18311760191082,2.85011185458524,0.0384000443713884,1.91195962362793,"Not Significant"
"exo","exo",62.5,26.6666666666667,1.1986077561464,2.58333983399385,0.0808789342534433,1.5949297684765,"Not Significant"
"exoX","exoX",143.75,87,0.717987919351939,1.24277729263726,0.269146689380932,0.877299760155363,"Not Significant"
"exuR","exuR",130.875,55.8333333333333,1.21436185529153,1.95538174343686,0.130908952756965,1.26924886962459,"Not Significant"
"exuT","exuT",111.25,45.8333333333333,1.26110781524138,1.9603142429859,0.136884391987264,1.25546303286138,"Not Significant"
"fabA","fabA",76.125,17.3333333333333,2.07272946634591,2.39517152934945,0.0736584644047355,1.8133007568765,"Not Significant"
"fabB","fabB",69.25,19.6666666666667,1.76519251055521,2.56358374362411,0.0541259179359949,1.86209008551273,"Not Significant"
"fabD","fabD",232.375,57,2.00852521709863,1.1777902439334,0.322178451635649,0.759014599607676,"Not Significant"
"fabF","fabF",261.375,89,1.54363335496248,5.60644770109389,0.00971212370315209,3.56802269413783,"Positive Hit"
"fabG","fabG",2608.125,244.333333333333,3.41075089289907,1.41237136979582,0.252554176030832,0.91152893704317,"Not Significant"
"fabH","fabH",667.125,83,2.99165680982909,1.76923609261275,0.174222629303349,1.14102192815102,"Not Significant"
"fabI","fabI",184.625,114.833333333333,0.680340548798415,1.31603312652181,0.266543453536074,0.858158202629813,"Not Significant"
"fabR","fabR",46.75,59.1666666666667,-0.333463698130266,-0.453314916973594,0.673671032453756,-0.297700988764185,"Not Significant"
"fabZ","fabZ",85.375,54.6666666666667,0.633800108635363,1.97027132932023,0.11064057301164,1.30510855040222,"Not Significant"
"fadA","fadA",193.75,91.5,1.07409805754536,0.988687319103362,0.377597973496395,0.66274913935837,"Not Significant"
"fadB","fadB",483.875,242.666666666667,0.992703965300129,1.11751440522621,0.326551062830138,0.748318968004254,"Not Significant"
"fadD","fadD",80.125,42.3333333333333,0.90466935569184,1.22115156786343,0.306176400458196,0.775945980454079,"Not Significant"
"fadE","fadE",32.5,33.1666666666667,-0.0284284083265173,-0.0268429172783348,0.979653058340568,-0.0183608643874166,"Not Significant"
"fadH","fadH",614.875,403.166666666667,0.607687225071488,0.885820866626516,0.416476522518293,0.630476336527424,"Not Significant"
"fadL","fadL",718.75,218.333333333333,1.71437080054935,1.2988336742396,0.28050232883718,0.842722950858882,"Not Significant"
"fadR","fadR",83.625,20.8333333333333,1.9545515227587,4.82119677942705,0.00722744749362588,3.11520949782213,"Positive Hit"
"fbaA","fbaA",108,56.1666666666667,0.93108205932527,1.79584370161313,0.13251622886899,1.27007552851568,"Not Significant"
"fbaB","fbaB",110.875,36.3333333333333,1.58335145081517,1.59728513862458,0.176820673758651,1.08490548611978,"Not Significant"
"fbp","fbp",273.75,106.666666666667,1.35154781697646,1.4652342397849,0.216601919125636,0.979264249765599,"Not Significant"
"fcl","fcl",-8.25,-0.833333333333333,NA,-0.595147994875793,0.57765538113602,-0.40605694575358,"Not Significant"
"fdhD","fdhD",131.875,50,1.38150053955961,1.33865493997514,0.241459041205858,0.921850396929801,"Not Significant"
"fdhE","fdhE",173.125,60.5,1.50146503726201,1.1149342233571,0.33017260250791,0.738743851940318,"Not Significant"
"fdhF","fdhF",92.75,39.8333333333333,1.19907134710183,2.60383704946291,0.04803936507927,1.81018966072334,"Not Significant"
"fdnG","fdnG",199.375,96.8333333333333,1.03430451776565,1.59564475467433,0.185995593456196,1.06081258584311,"Not Significant"
"fdnH","fdnH",95.375,49.8333333333333,0.922884118185942,1.00775342600716,0.385647598530618,0.643945905152423,"Not Significant"
"fdnI","fdnI",89.125,14.6666666666667,2.52422909828434,3.24280969355042,0.0362882235273286,2.08720070976973,"Positive Hit"
"fdoG","fdoG",14.875,4,1.6667565918848,0.988742768161726,0.36903321154612,0.656545071885497,"Not Significant"
"fdoH","fdoH",52.375,7.5,2.65062941837015,1.55578505488941,0.195816765702474,1.01931074328898,"Not Significant"
"fdoI","fdoI",62.25,28.6666666666667,1.09222264444907,1.79135882229739,0.143053727037834,1.32805990396875,"Not Significant"
"fdrA","fdrA",93.5,31.1666666666667,1.55474788767415,3.04432497067626,0.0540571688747333,1.91032929834958,"Not Significant"
"fdx","fdx",142.875,98.8333333333333,0.527222426064601,0.707745767611873,0.510724686451644,0.505902587725783,"Not Significant"
"feaB","feaB",102.75,68.0833333333333,0.586701735459693,0.788639409360256,0.466850609423208,0.547459338098109,"Not Significant"
"feaR","feaR",67.5,25.8333333333333,1.35207770556707,1.85939142409151,0.157806231996166,1.48698109076919,"Not Significant"
"fecA","fecA",17.25,-0.333333333333333,4.77478705960117,1.63399052551759,0.17862955646849,1.19795093712872,"Not Significant"
