C3438,C3438,421.5,458.0,886.0,818.0,455.5,173.0,214.0
C3439,C3439,370.5,258.0,563.5,180.5,224.5,92.0,67.5
C3440,C3440,1016.5,832.0,1278.0,633.0,657.0,262.5,215.5
C3441,C3441,497.0,333.5,811.0,369.5,319.0,66.5,63.0
C3458,C3458,187.0,158.0,539.5,152.5,116.0,60.0,47.0
C3459,C3459,227.5,210.5,201.0,110.5,161.5,95.5,62.5
C3460,C3460,236.0,103.5,330.5,217.0,118.0,39.0,57.5
C3461,C3461,909.5,259.0,1411.0,533.0,608.5,179.5,119.5
C3462,C3462,198.5,25.5,637.0,85.0,133.0,114.0,31.0
C3463,C3463,333.0,230.0,566.0,376.5,204.0,148.5,76.0
C3474,C3474,372.0,174.5,234.5,176.5,93.0,10.5,0.5
C3475,C3475,800.5,242.5,1377.0,511.5,671.5,143.5,73.0
C3563,C3563,149.0,91.5,432.0,312.5,268.5,80.5,115.0
C3564,C3564,747.5,772.0,1074.5,771.0,320.0,186.5,80.5
C3565,C3565,1098.5,1840.0,2946.0,614.5,999.0,608.0,293.0
C3566,C3566,1422.0,1067.5,2900.5,923.0,896.5,344.0,163.0
C3690,C3690,385.5,28.75,1748.25,402.75,317.0,112.25,70.0
C3691,C3691,290.0,182.75,1348.5,269.25,288.5,93.75,69.75
C3693,C3693,4.75,-30.25,5.0,7.0,15.75,13.5,-17.5
C3694,C3694,490.25,199.25,732.25,271.25,479.25,127.0,140.25
C3695,C3695,227.0,236.5,447.75,115.25,163.25,26.25,24.25
C3697,C3697,166.75,86.5,826.0,141.0,55.5,69.0,29.5
C3698,C3698,179.5,200.5,272.25,201.5,109.75,50.25,38.25
C3927,C3927,519.0,336.0,531.0,229.5,220.5,107.5,38.0
C3928,C3928,0.0,-38.0,13.5,5.5,6.5,8.5,4.0
C3970,C3970,622.0,439.0,1328.0,396.0,463.0,214.5,152.5
C3971,C3971,984.5,682.5,2166.0,715.0,586.5,206.5,225.0
C3972,C3972,595.0,251.0,714.5,494.5,273.0,64.0,94.0
C3973,C3973,386.5,402.5,553.5,304.0,238.0,130.5,104.0
C3974,C3974,452.5,453.0,561.5,358.0,214.0,132.0,51.5
C3975,C3975,530.5,685.5,2356.5,401.5,417.5,118.0,73.0
C3999,C3999,124.5,91.5,358.5,55.5,69.0,23.0,19.5
C4000,C4000,253.0,121.5,538.0,103.5,176.5,64.5,35.5
C4001,C4001,1316.5,770.5,2713.5,531.5,1367.0,412.0,199.5
C4002,C4002,81.0,-2.5,-4.0,0.0,13.5,8.0,2.0
C4003,C4003,379.0,132.0,873.0,159.5,325.0,158.5,53.5
C4004,C4004,971.0,284.5,1068.0,252.5,371.0,244.0,49.0
C4005,C4005,203.5,270.5,271.5,186.0,210.5,55.0,74.0
C4030,C4030,847.5,143.0,836.0,544.0,473.5,150.0,120.0
C4201,C4201,257.0,130.5,1031.5,166.5,177.0,92.5,32.5
C4202,C4202,487.0,113.0,758.0,157.0,391.0,194.0,94.5
C4203,C4203,244.0,167.5,488.5,172.0,146.5,107.0,91.5
C4204,C4204,580.5,149.0,754.0,483.0,309.5,119.0,98.0
